sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1964:2178,top1964,HERZOG,Saul Bellow,1964,0670369128,6551,2088454,Herzog,Saul Bellow,1964,23321,isbn,high,,2,59,51,2026-08-13T21:33:57
top1964:5745,top1964,THE MAN,Irving Wallace,1964,,551932,1885405,The Man,Irving Wallace,1964,1597,title_author,high,,1,11,10,2026-08-13T21:33:57
top1965:6366,top1965,THE SOURCE,James Michener,1965,9780002843232,12657,1251662,The Source,James A. Michener,1964,46237,title_author,high,,1,28,22,2026-08-13T21:33:57
top1965:7086,top1965,UP THE DOWN STAIRCASE,Bel Kaufman,1965,,129856693,154741,Up the Down Staircase by Bel Kaufman,Bel Kaufman,1965,10653,title_author,high,,2,39,26,2026-08-13T21:33:57
top1965:2271,top1965,HOTEL,Arthur Hailey,1965,0385032226,124920,2727285,Hotel,Arthur Hailey,1965,18468,isbn,high,,1,6,5,2026-08-13T21:33:57
top1966:7095,top1966,VALLEY OF THE DOLLS,Jacqueline Susann,1966,,581811,1203845,Valley of the Dolls,Jacqueline Susann,1960,80468,title_author,medium,year_off(1960vs1966),3,65,48,2026-08-13T21:33:57
top1966:6232,top1966,THE SECRET OF SANTA VITTORIA,Robert Crichton,1966,,7685,10761,The Secret of Santa Vittoria,Robert Crichton,1966,1358,title_author,high,,1,2,2,2026-08-13T21:33:57
top1966:4428,top1966,TAI-PAN,James Clavell,1966,,132078437,1755754,Tai-Pan,James Clavell,1966,60688,title_author,high,,2,32,26,2026-08-13T21:33:57
top1967:6929,top1967,TOPAZ,Leon Uris,1967,,368819,2784864,Topaz,Leon Uris,1967,5709,title_author,high,,1,6,6,2026-08-13T21:33:57
top1967:4879,top1967,THE CONFESSIONS OF NAT TURNER,William Styron,1967,9780679736639,577283,1607259,The Confessions of Nat Turner,William Styron,1968,15373,isbn,high,,2,38,38,2026-08-13T21:33:57
top1967:3864,top1967,ROSEMARY'S BABY,Ira Levin,1967,9781605981109,228296,883024,Rosemary's Baby,Ira Levin,1967,165953,isbn,high,,1,21,17,2026-08-13T21:33:57
top1968:350,top1968,AIRPORT,Arthur Hailey,1968,038504139X,124918,120317,Airport,Arthur Hailey,1968,42414,isbn,high,,1,14,12,2026-08-13T21:33:57
top1968:6186,top1968,THE SALZBURG CONNECTION,Helen MacInnes,1968,9781781163290,230619,2290204,The Salzburg Connection,Helen MacInnes,1968,4209,isbn,high,,1,2,1,2026-08-13T21:33:57
top1968:4482,top1968,TESTIMONY OF TWO MEN,Taylor Caldwell,1968,0449232123,59102,2618812,Testimony of Two Men,Taylor Caldwell,1968,3140,isbn,high,,1,1,1,2026-08-13T21:33:57
